"Ruta";"Exit";"Continue";"With";"Anchas";"Tabuladores"
"src\Lib\backup\Core_Engine.pas";"2";"3";"0";"0";"0"
"src\Lib\backup\Core_Helpers.pas";"0";"0";"0";"6";"0"
"src\Lib\IDETheme.ActnCtrls.pas";"0";"0";"0";"1";"0"
"src\Lib\inLibAtributosPaleta.pas";"27";"2";"0";"4";"0"
"src\Lib\inLibBuscarImpresora.pas";"6";"0";"0";"0";"0"
"src\Lib\inLibCatalogoSqlIncidencias.pas";"2";"0";"0";"0";"0"
"src\Lib\inLibColumnasSkuModoSku.pas";"0";"0";"3";"0";"0"
"src\Lib\inLibComprasImpuestos.pas";"2";"0";"0";"0";"0"
"src\Lib\inLibComprasSesionesCreacion.pas";"1";"0";"0";"0";"0"
"src\Lib\inLibConfigCampos.pas";"7";"0";"0";"0";"0"
"src\Lib\inLibCriptoCurr.pas";"0";"0";"0";"2";"0"
"src\Lib\inLibDBStructure.pas";"3";"0";"0";"0";"0"
"src\Lib\inLibDevExp.pas";"6";"8";"4";"2";"0"
"src\Lib\inLibDivCurr.pas";"0";"0";"0";"7";"0"
"src\Lib\inLibDocCompraExcel.pas";"1";"0";"0";"0";"0"
"src\Lib\inLibEAN13.pas";"2";"0";"0";"0";"0"
"src\Lib\inLibFacturaExcel.pas";"0";"0";"7";"0";"0"
"src\Lib\inLibFacturas.pas";"9";"0";"5";"0";"0"
"src\Lib\inLibFacturasColumnasPresentacion.pas";"0";"0";"14";"0";"0"
"src\Lib\inLibFormManager.pas";"5";"0";"0";"0";"0"
"src\Lib\inLibFTicket.pas";"1";"0";"0";"2";"0"
"src\Lib\inLibGridArticulos.pas";"18";"0";"11";"2";"0"
"src\Lib\inLibGridCantidad.pas";"0";"0";"0";"1";"0"
"src\Lib\inLibGridColumnChooser.pas";"3";"4";"0";"0";"0"
"src\Lib\inLibGridPivoteVentaPresentacion.pas";"0";"0";"2";"0";"0"
"src\Lib\inLibGridTallasInline.pas";"31";"4";"0";"2";"0"
"src\Lib\inLibHojaCalculoDevEx.pas";"0";"0";"2";"0";"0"
"src\Lib\inLibInformesGuiasCache.pas";"3";"0";"0";"1";"0"
"src\Lib\inLibInventarioExcel.pas";"2";"1";"0";"0";"0"
"src\Lib\inLibInventarioNube.pas";"0";"0";"0";"4";"0"
"src\Lib\inLibLayoutForm.pas";"5";"2";"0";"1";"0"
"src\Lib\inLibLectorScanner.pas";"0";"0";"0";"3";"0"
"src\Lib\inLibLog.pas";"2";"0";"0";"0";"0"
"src\Lib\inLibModoTallasBuscador.pas";"0";"0";"5";"0";"0"
"src\Lib\inLibModoTallasPresentacion.pas";"0";"0";"3";"0";"0"
"src\Lib\inLibPathTokens.pas";"2";"1";"0";"0";"0"
"src\Lib\inLibPresta.pas";"0";"0";"1";"7";"0"
"src\Lib\inLibPrestaImporter.pas";"3";"0";"0";"0";"0"
"src\Lib\inLibShowMto.pas";"4";"0";"0";"0";"0"
"src\Lib\inLibUnidadesMedida.pas";"1";"0";"0";"2";"0"
"src\Lib\inLibUnitForm.pas";"2";"1";"1";"0";"0"
"src\Lib\inLibVentasCalendario.pas";"4";"0";"0";"0";"0"
"src\Lib\inLibVentasImpuestos.pas";"3";"0";"0";"0";"0"
"src\Lib\inLibVerifactuNoVerifactuVerify.pas";"0";"0";"0";"8";"0"
"src\Lib\inLibWin.pas";"2";"0";"1";"2";"0"
"src\Modals\inMtoModalAddBlockBase.pas";"8";"0";"0";"5";"0"
"src\Modals\inMtoModalAddBlockInventario.pas";"1";"1";"0";"1";"0"
"src\Modals\inMtoModalAddBlockTarifa.pas";"9";"1";"0";"1";"0"
"src\Modals\inMtoModalArticulosPropiedades.pas";"11";"5";"0";"5";"0"
