"Ruta";"Sentencias";"Select";"Insert";"Update";"Delete";"Replace";"Call";"Ddl";"Unidad"
"src\Lib\inLibSepaRemesasVenta.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibSepaRemesasVenta"
"src\Lib\inLibDevExp.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibDevExp"
"src\Lib\inLibGestorGuiasGridMto.pas";"2";"0";"0";"1";"1";"0";"0";"0";"inLibGestorGuiasGridMto"
"src\Lib\inLibArticulosFiltro.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibArticulosFiltro"
"src\Lib\inLibComprasSesionesReglas.pas";"2";"1";"0";"1";"0";"0";"0";"0";"inLibComprasSesionesReglas"
"src\Lib\inLibInventarioNube.pas";"2";"1";"1";"0";"0";"0";"0";"0";"inLibInventarioNube"
"src\Lib\inLibLicenciaAplicacion.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibLicenciaAplicacion"
"src\Lib\inLibBusquedasCompra.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibBusquedasCompra"
"src\Lib\inLibGestorPerfilesMto.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibGestorPerfilesMto"
"src\Lib\inLibTraducciones.pas";"2";"2";"0";"0";"0";"0";"0";"0";"inLibTraducciones"
"src\Lib\inLibValidacionDocumento.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibValidacionDocumento"
"src\Lib\inLibVentasImpuestos.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibVentasImpuestos"
"src\Lib\inLibUnitForm.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibUnitForm"
"src\Lib\inLibVentasCalendario.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibVentasCalendario"
"src\Lib\inLibUnidadesMedida.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibUnidadesMedida"
"src\Lib\inLibColumnasSkuModoSku.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibColumnasSkuModoSku"
"src\Lib\inLibRectificativas.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibRectificativas"
"src\Lib\inLibPermisosUniDAC.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibPermisosUniDAC"
"src\Lib\inLibInformesGuiasCache.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibInformesGuiasCache"
"src\Lib\inLibColumnasDocumento.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibColumnasDocumento"
"src\Caja\Lib\inLibFaseCobro.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibFaseCobro"
"src\Lib\inLibFormatoDocumento.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibFormatoDocumento"
"src\Lib\inLibFacturasConsolidacion.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibFacturasConsolidacion"
"src\Lib\inLibFacturaPdfBlob.pas";"1";"0";"0";"1";"0";"0";"0";"0";"inLibFacturaPdfBlob"
"src\Lib\inLibDiag.pas";"1";"0";"0";"0";"0";"0";"0";"1";"inLibDiag"
"src\Lib\inLibDatasets.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibDatasets"
"src\Lib\inLibCorreoTickets.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibCorreoTickets"
"src\Lib\inLibConfigCampos.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibConfigCampos"
"src\Lib\inLibShowMto.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibShowMto"
"src\Caja\Lib\inLibGenerarTicketCaja.pas";"1";"1";"0";"0";"0";"0";"0";"0";"inLibGenerarTicketCaja"
