OldName;NewName
CODIGO_PAIS_EMPRESA;CODIGO_PAI_EMP
NOMBRE_PAIS_EMPRESA;NOMBRE_PAI_EMP
SERIE_CONTADOR_EMPRESA;SERIE_CON_EMP
IBAN_EMPRESA;IBAN_EMP
GRUPO_ZONA_IVA_EMPRESA;GRUPO_ZONA_IVA_EMP
ESRETENCIONES_EMPRESA;ESRETENCIONES_EMP
ESREGIMENESPECIALAGRICOLA_EMPRESA;ESREGIMENESPECIALAGRICOLA_EMP
CODIGO_CERTIFICADO_EMPRESA;CODIGO_CERTIFICADO_EMP
TITULAR_CERTIFICADO_EMPRESA;TITULAR_CERTIFICADO_EMP
TIPO_CERTIFICADO_EMPRESA;TIPO_CERTIFICADO_EMP
FECHA_DESDE_CERTIFICADO_EMPRESA;FECHA_DESDE_CERTIFICADO_EMP
FECHA_HASTA_CERTIFICADO_EMPRESA;FECHA_HASTA_CERTIFICADO_EMP
TEXTO_LEGAL_FACTURA_EMPRESA;TEXTO_LEGAL_FACTURA_EMP
CODIGO_RETENCION;CODIGO_RETENCION_EMPRET
CODIGO_EMPRESA_RETENCION;CODIGO_EMP_EMPRET
PORCENRETENCION_RETENCION;PORCENTAJE_EMPRET
FECHA_DESDE_RETENCION;FECHA_DESDE_EMPRET
FECHA_HASTA_RETENCION;FECHA_HASTA_EMPRET
CODIGO_SERIE;CODIGO_SERIE_EMPSER
CODIGO_EMPRESA_SERIE;CODIGO_EMP_EMPSER
CODIGO_ALMACEN_SERIE;CODIGO_ALM_EMPSER
CODIGO_CAJA_SERIE;CODIGO_CAJA_EMPSER
SERIE_SERIE;EMPSER
TIPODOC_SERIE;TIPO_DOC_EMPSER
SUBTIPO_SERIE;SUBTIPO_EMPSER
FECHA_DESDE_SERIE;FECHA_DESDE_EMPSER
FECHA_HASTA_SERIE;FECHA_HASTA_EMPSER
NRO_FACTURA;NUMERO_FAC
SERIE_FACTURA;SERIE_FAC
FECHA_FACTURA;FECHA_FAC
ESCONSOLIDADA_FACTURA;ESCONSOLIDADA_FAC
INSTANTECONSO_FACTURA;INSTANTECONSO_FAC
TIPO_FACTURA;TIPO_FAC
FASE_FACTURA;FASE_FAC
CODIGO_EMPRESA_FACTURA;CODIGO_EMP_FAC
RAZONSOCIAL_EMPRESA_FACTURA;RAZON_SOCIAL_EMPRESA_FAC
NIF_EMPRESA_FACTURA;NIF_EMPRESA_FAC
MOVIL_EMPRESA_FACTURA;MOVIL_EMPRESA_FAC
EMAIL_EMPRESA_FACTURA;EMAIL_EMPRESA_FAC
POBLACION_EMPRESA_FACTURA;POBLACION_EMPRESA_FAC
PROVINCIA_EMPRESA_FACTURA;PROVINCIA_EMPRESA_FAC
CODIGO_PAIS_EMPRESA_FACTURA;CODIGO_PAI_EMPRESA_FAC
NOMBRE_PAIS_EMPRESA_FACTURA;NOMBRE_PAI_EMPRESA_FAC
